,lambda1_share,lambda1_share_roc,n_significant_mp,regime_prob_stress
2024-04-08,0.1198746385737751,0.006012867748204087,0.0,6.423139016183639e-06
2024-04-09,0.11946039358480877,0.006537180968916437,0.0,6.362014583104665e-06
2024-04-10,0.1146833379332418,-0.00023411830870108397,0.0,6.692655842499851e-06
2024-04-11,0.11630159237241659,-0.002375507850222336,0.0,6.3678135990064994e-06
2024-04-12,0.11727819449272658,-0.0036834939491468266,0.0,6.278494689704591e-06
2024-04-15,0.11835626675194184,-0.0015183718218332587,0.0,6.271018761867068e-06
2024-04-16,0.11541951490006212,-0.004040878684746646,0.0,6.514574264809669e-06
2024-04-17,0.11638261467780747,0.0016992767445656726,0.0,6.3567292052303375e-06
2024-04-18,0.11397594135005135,-0.0023256510223652466,0.0,6.913077009713592e-06
2024-04-19,0.11350420855845354,-0.0037739859342730414,0.0,7.092096037822242e-06
2024-04-22,0.11507273716999578,-0.003283529581946068,0.0,6.595697424632523e-06
2024-04-23,0.11368125183171203,-0.0017382630683500933,0.0,7.021493302120833e-06
2024-04-24,0.11515724927135824,-0.0012253654064492275,0.0,6.5754885283687455e-06
2024-04-25,0.11480873876727407,0.0008327974172227248,0.0,6.659762410620538e-06
2024-04-26,0.11699273115802132,0.003488522599567778,0.0,6.297353403173044e-06
2024-04-29,0.11382551156025568,-0.0012472256097400963,0.0,6.9663644285429295e-06
2024-04-30,0.11318598689945553,-0.0004952649322565034,0.0,7.225509521459418e-06
2024-05-01,0.11318309920374234,-0.001974150067615907,0.0,7.2280679062779265e-06
2024-05-02,0.11324096667292635,-0.0015677720943477191,0.0,7.202962269070966e-06
2024-05-03,0.11320775164778625,-0.0037849795102350703,0.0,7.217205895662606e-06
2024-05-06,0.11258241450912795,-0.0012430970511277256,0.0,7.513042598791673e-06
2024-05-07,0.11565305407801814,0.0024670671785626125,0.0,6.474162083221497e-06
2024-05-08,0.1152086847933113,0.0020255855895689595,0.0,6.561223570534092e-06
2024-05-09,0.11501570512716637,0.0017747384542400185,0.0,6.607067398482081e-06
2024-05-10,0.11407892533173641,0.0008711736839501633,0.0,6.878981866333135e-06
2024-05-13,0.11345159992771142,0.000869185418583468,0.0,7.11313175643329e-06
2024-05-14,0.1119918200089273,-0.0036612340690908435,0.0,7.838979368078172e-06
2024-05-15,0.11049098364365693,-0.004717701149654363,0.0,8.916106434231738e-06
2024-05-16,0.11217960003165287,-0.0028361050955135053,0.0,7.739553958004183e-06
2024-05-17,0.1132343505067807,-0.0008445748249557156,0.0,7.208363571585531e-06
2024-05-20,0.1128299260261347,-0.0006216739015767192,0.0,7.390073033646948e-06
2024-05-21,0.11272665025990346,0.0007348302509761623,0.0,7.441341190222945e-06
2024-05-22,0.11374811816338923,0.0032571345197322937,0.0,7.000417955909856e-06
2024-05-23,0.11996214504455782,0.007782545012904957,0.0,6.439280687095784e-06
2024-05-24,0.11836577773244948,0.005131427225668783,0.0,6.272070555149852e-06
2024-05-27,0.12073502755408635,0.007905101527951652,0.0,6.594360457307312e-06
2024-05-28,0.12149677595260205,0.008770125692698597,0.0,6.806595881198181e-06
2024-05-29,0.1193788958842141,0.0056307777208248755,0.0,6.353587548669995e-06
2024-05-30,0.1188982657638826,-0.0010638792806752229,0.0,6.303204535196131e-06
2024-05-31,0.11604585087294292,-0.002319926859506563,0.0,6.402250230826185e-06
2024-06-03,0.11835010155265865,-0.0023849260014277007,0.0,6.271330487936411e-06
2024-06-04,0.1169019219671862,-0.004594853985415856,0.0,6.302647008071688e-06
2024-06-05,0.12004946474304225,0.0006705688588281439,0.0,6.451388671373375e-06
2024-06-06,0.12271509753934334,0.003816831775460744,0.0,7.268734502523651e-06
2024-06-07,0.12119993883410984,0.0051540879611669255,0.0,6.7208591556964115e-06
2024-06-10,0.12831777156227175,0.0099676700096131,0.0,1.2573216841358944e-05
2024-06-11,0.12908400996760122,0.012182088000415023,0.0,1.4039123911914938e-05
2024-06-12,0.13031252111341962,0.010263056370377374,0.0,1.6927088032522016e-05
2024-06-13,0.13161692210936865,0.008901824570025307,0.0,2.110806637841087e-05
2024-06-14,0.12831224090949733,0.007112302075387489,0.0,1.2689007595603344e-05
2024-06-17,0.12522345886436928,-0.0030943126979024738,0.0,8.87583838236327e-06
2024-06-18,0.12611778161999196,-0.002966228347609262,0.0,9.678565157106446e-06
2024-06-19,0.12293766348343683,-0.007374857629982787,0.0,7.3882426766709205e-06
2024-06-20,0.1247071471859899,-0.006909774923378756,0.0,8.438826079882241e-06
2024-06-21,0.12067031982114977,-0.007641921088347561,0.0,6.588889361391293e-06
2024-06-24,0.11774905245974211,-0.007474406404627168,0.0,6.264852149699883e-06
2024-06-25,0.1167561772178804,-0.009361604402111562,0.0,6.3152448323280695e-06
2024-06-26,0.11732335106834084,-0.0056143124150959955,0.0,6.276090213659202e-06
2024-06-27,0.11624148853817136,-0.008465658647818536,0.0,6.373974965765704e-06
2024-06-28,0.11793854121341577,-0.002731778607734006,0.0,6.2630814825980076e-06
2024-07-01,0.11478582200852556,-0.0029632304512165475,0.0,6.6643998592356764e-06
2024-07-02,0.11299303367440855,-0.0037631435434718474,0.0,7.310559900305856e-06
2024-07-03,0.11997647773383845,0.002653126665497607,0.0,6.4431160543371735e-06
2024-07-04,0.11986307486670886,0.003621586328537499,0.0,6.42033624040853e-06
2024-07-05,0.11684792400374906,-0.0010906172096667027,0.0,6.307772002086573e-06
2024-07-08,0.11562232108398598,0.0008364990754604201,0.0,6.474537921077315e-06
2024-07-09,0.11603952395122076,0.003046490276812211,0.0,6.403974753733813e-06
2024-07-10,0.11393808266326827,-0.006038395070570177,0.0,6.926558054744319e-06
2024-07-11,0.1151778054255746,-0.00468526944113426,0.0,6.570319993456612e-06
2024-07-12,0.11602447816372671,-0.0008234458400223493,0.0,6.406708662442301e-06
2024-07-15,0.11434519019766756,-0.0012771308863184228,0.0,6.79190756756977e-06
2024-07-16,0.11669571900064508,0.000656195049424324,0.0,6.323301635501073e-06
2024-07-17,0.11922759802756398,0.005289515364295713,0.0,6.334164191333601e-06
2024-07-18,0.12018773891986667,0.005009933494292074,0.0,6.476996131422484e-06
2024-07-19,0.11871230233382962,0.0026878241701029093,0.0,6.290119163583729e-06
2024-07-22,0.11725525935189832,0.0029100691542307544,0.0,6.279325468402376e-06
2024-07-23,0.11698965525771267,0.0002939362570675841,0.0,6.295921123960141e-06
2024-07-24,0.1159498811605907,-0.003277716866973285,0.0,6.417227467711862e-06
2024-07-25,0.11557053881214355,-0.004617200107723124,0.0,6.484944852954534e-06
2024-07-26,0.11806333016125084,-0.0006489721725787823,0.0,6.264586657563595e-06
2024-07-29,0.11828625913430929,0.001030999782410974,0.0,6.268578638521321e-06
2024-07-30,0.11783818384310488,0.0008485285853922081,0.0,6.26270930486911e-06
2024-07-31,0.11645588733034451,0.0005060061697538115,0.0,6.346783077838375e-06
2024-08-01,0.11623152052103777,0.000660981708894226,0.0,6.3756427528514134e-06
2024-08-02,0.11725304647000145,-0.000810283691249386,0.0,6.279812191205452e-06
2024-08-05,0.1172804359276506,-0.001005823206658693,0.0,6.278000360747899e-06
2024-08-06,0.11704641147764765,-0.0007917723654572301,0.0,6.291876690417307e-06
2024-08-07,0.11768364256273371,0.0012277552323892021,0.0,6.2645242949318685e-06
2024-08-08,0.11871452930214252,0.002483008781104745,0.0,6.289340622238476e-06
2024-08-09,0.11675742327050741,-0.0004956231994940469,0.0,6.315236528301555e-06
2024-08-12,0.114309429575018,-0.002971006352632602,0.0,6.802620360364745e-06
2024-08-13,0.11692127764391522,-0.0001251338337324298,0.0,6.303418604800067e-06
2024-08-14,0.1135372409492691,-0.0041464016134646065,0.0,7.075957377275802e-06
2024-08-15,0.11391459306362837,-0.004799936238514144,0.0,6.938084508208243e-06
2024-08-16,0.11579426092213699,-0.0009631623483704194,0.0,6.44612387690696e-06
2024-08-19,0.11879349217931862,0.00448406260430062,0.0,6.2955853217167575e-06
2024-08-20,0.11939336249411817,0.002472084850202949,0.0,6.353095230585885e-06
2024-08-21,0.11945304724579289,0.005915806296523787,0.0,6.360771716125068e-06
2024-08-22,0.11817202934100157,0.004257436277373197,0.0,6.265960941380233e-06
2024-08-23,0.11607974068688703,0.0002854797647500462,0.0,6.39697404439883e-06
2024-08-26,0.11604245567233347,-0.0027510365069851467,0.0,6.403183300115217e-06
2024-08-27,0.11447017583241487,-0.004923186661703299,0.0,6.753957824496028e-06
2024-08-28,0.11401709679322757,-0.005435950452565327,0.0,6.900737805511912e-06
2024-08-29,0.11503753380132098,-0.003134495539680593,0.0,6.603303687577013e-06
2024-08-30,0.11435993184699736,-0.001719808839889675,0.0,6.788275169342056e-06
2024-09-02,0.11542461638863889,-0.0006178392836945767,0.0,6.5158499476291705e-06
2024-09-03,0.11480124458004164,0.00033106874762676985,0.0,6.661469725117481e-06
2024-09-04,0.11302232372384094,-0.0009947730693866258,0.0,7.297114455456955e-06
2024-09-05,0.11425509207650457,-0.0007824417248164101,0.0,6.824435859114816e-06
2024-09-06,0.1153205228682734,0.0009605910212760471,0.0,6.538043995415797e-06
2024-09-09,0.11570469705228054,0.00028008066364164363,0.0,6.460282853761568e-06
2024-09-10,0.11639362811808657,0.0015923835380449308,0.0,6.355132992212206e-06
2024-09-11,0.11675486497159583,0.003732541247754892,0.0,6.315761115002649e-06
2024-09-12,0.11753041399048775,0.0032753219139831785,0.0,6.268224609130745e-06
2024-09-13,0.11816264752922387,0.0028421246609504625,0.0,6.265357000902343e-06
2024-09-16,0.11768199251690474,0.001977295464624204,0.0,6.26443796293477e-06
2024-09-17,0.1152290334696951,-0.0011645946483914704,0.0,6.555680775109735e-06
2024-09-18,0.1161282713503314,-0.0006265936212644374,0.0,6.391107404682151e-06
2024-09-19,0.11718044108315394,-0.00034997290733380926,0.0,6.283872699337522e-06
2024-09-20,0.11962420126137396,0.0014615537321500949,0.0,6.383420547691034e-06
2024-09-23,0.12193088024484264,0.004248887727937897,0.0,6.9518154914051075e-06
2024-09-24,0.12312943152402436,0.007900398054329266,0.0,7.46812361204736e-06
2024-09-25,0.12420996148071997,0.008081690130388577,0.0,8.093304669612837e-06
2024-09-26,0.12433652008532138,0.0071560790021674425,0.0,8.181080276580566e-06
2024-09-27,0.12376265544075521,0.004138454179381246,0.0,7.819181001393987e-06
2024-09-30,0.12798095754088382,0.006050077296041179,0.0,1.2037349545831143e-05
2024-10-01,0.1276804983153493,0.0045510667913249425,0.0,1.1618798602214412e-05
2024-10-02,0.12340180355675716,-0.0008081579239628128,0.0,7.634136482133904e-06
2024-10-03,0.12609989412384773,0.0017633740385263469,0.0,9.652050459917545e-06
2024-10-04,0.12917948851367042,0.005416833072915211,0.0,1.4205065728121834e-05
2024-10-07,0.13420963444103398,0.006228676900150165,1.0,3.472405110270771e-05
2024-10-08,0.13534771773954146,0.0076672194241921565,1.0,4.5061522869369906e-05
2024-10-09,0.1312467253433175,0.007844921786560335,0.0,2.0176136461183412e-05
2024-10-10,0.1286642996162391,0.0025644054923913695,0.0,1.330245811274188e-05
2024-10-11,0.12950106251764804,0.00032157400397761493,0.0,1.4929528698082737e-05
2024-10-14,0.13052883755142589,-0.0036807968896080956,0.0,1.753668149525108e-05
2024-10-15,0.12774049631339904,-0.007607221426142424,0.0,1.1751309271337987e-05
2024-10-16,0.13016419461691175,-0.0010825307264057393,0.0,1.6508024463694083e-05
2024-10-17,0.12989801615644334,0.0012337165402042383,0.0,1.5889709460747013e-05
